GA5,GA10,GA15,GA,GO5,GO10,GO15,GO,MA5,MA10,MA15,MA,MS5,MS10,MS15,MS,aa
921.54,921.443,921.158,921.36,994.668,994.254,994.137,994,73.0246,72.984,72.9699,72.93,57.0712,57.0256,56.9718,56.96,44
921.589,921.556,921.29,921.6893,994.749,994.301,994.188,993.95,73.0224,72.9842,72.9744,72.93,57.0625,57.0208,56.9702,56.92,45
921.64,921.674,921.444,921.395,994.83,994.359,994.273,994.16,73.0196,72.985,72.9819,72.98,57.0538,57.018,56.9734,56.915,46
921.693,921.796,921.622,921.85,994.912,994.427,994.387,994.27,73.0162,72.986,72.9912,73.003,57.0451,57.0172,56.9807,56.94,47
921.747,921.916,921.821,922.08,994.994,994.507,994.523,994.5649,73.0119,72.9867,73.0008,72.99,57.0363,57.0179,56.9912,56.97,48
921.801,922.031,922.035,922.765,995.076,994.599,994.671,994.62,73.0068,72.9866,73.0094,73.04,57.0275,57.02,57.004,57.015,49
921.856,922.137,922.254,922.5644,995.158,994.704,994.82,994.365,73.0007,72.9854,73.0153,73.015,57.0188,57.0227,57.0177,57.005,50
921.911,922.232,922.465,922.45,995.24,994.821,994.964,994.81,72.9937,72.9826,73.0175,73,57.0101,57.0258,57.0313,57.07,51
921.965,922.313,922.654,922.93,995.321,994.948,995.095,995.3954,72.9857,72.9781,73.0152,73.02,57.0016,57.0285,57.0435,57.07,52
922.019,922.38,922.807,923.125,995.4,995.086,995.213,994.954,72.9768,72.9718,73.0081,73.03,56.9932,57.0304,57.0533,57.0797,53
922.072,922.43,922.913,923.12,995.479,995.232,995.319,995.5785,72.967,72.9635,72.9962,73,56.9849,57.031,57.0598,57.075,54
922.124,922.465,922.967,923.065,995.555,995.383,995.417,995.21,72.9564,72.9535,72.9802,72.98,56.9769,57.0298,57.0624,57.0575,55
922.175,922.484,922.967,923.24,995.629,995.539,995.512,995.5696,72.9451,72.942,72.9609,72.99,56.9691,57.0265,57.0606,57.015,56
922.224,922.491,922.919,923.12,995.701,995.695,995.612,996.09,72.9334,72.9294,72.9396,72.99,56.9615,57.0208,57.0544,57.03,57
922.272,922.486,922.832,922.82,995.77,995.849,995.72,995.97,72.9212,72.9159,72.9173,72.95,56.9543,57.0127,57.0439,57.03,58
922.318,922.472,922.719,922.01,995.836,995.999,995.84,996.1,72.9089,72.9022,72.8953,72.9,56.9473,57.0023,57.0295,57.04,59
922.362,922.453,922.594,921.73,995.897,996.14,995.973,996.48,72.8966,72.8886,72.8746,72.87,56.9406,56.9895,57.0118,57.02,60
922.404,922.432,922.472,922,995.955,996.271,996.114,996.24,72.8844,72.8757,72.8561,72.8,56.9343,56.9748,56.9916,57.01,61
922.444,922.411,922.364,922.26,996.008,996.389,996.26,995.77,72.8726,72.8638,72.8403,72.805,56.9283,56.9585,56.9699,57,62
922.483,922.395,922.278,922.245,996.057,996.492,996.402,996.0152,72.8614,72.8533,72.8275,72.85,56.9227,56.9411,56.9475,57,63
922.52,922.386,922.218,921.92,996.1,996.577,996.534,996.4592,72.8509,72.8444,72.8178,72.8345,56.9174,56.9231,56.9253,56.94,64
922.555,922.386,922.186,921.73,996.138,996.643,996.648,997.15,72.8413,72.8374,72.811,72.855,56.9126,56.9052,56.9044,56.87,65
922.588,922.397,922.181,922.15,996.17,996.69,996.738,996.91,72.8327,72.8321,72.8069,72.785,56.9081,56.8878,56.8853,56.9,66
922.62,922.421,922.199,922.08,996.196,996.716,996.8,996.57,72.8251,72.8286,72.805,72.805,56.904,56.8715,56.8687,56.87,67
922.651,922.458,922.239,922.445,996.216,996.722,996.831,996.61,72.8187,72.8265,72.8051,72.805,56.9003,56.8569,56.8549,56.85,68
922.68,922.507,922.297,922.2,996.23,996.708,996.833,996.43,72.8135,72.8257,72.8069,72.78,56.8971,56.8444,56.8443,56.87,69
922.709,922.569,922.374,922.71,996.237,996.675,996.806,996.98,72.8095,72.8258,72.8098,72.8,56.8942,56.8343,56.8368,56.82,70
922.737,922.64,922.468,922.84,996.237,996.625,996.754,996.54,72.8066,72.8263,72.8135,72.78,56.8917,56.8268,56.8323,56.85,71
922.765,922.72,922.578,922.74,996.231,996.56,996.68,996.42,72.8048,72.8268,72.8178,72.8,56.8896,56.8221,56.8306,56.83,72
922.792,922.805,922.703,922.5,996.218,996.48,996.586,996.44,72.804,72.827,72.8221,72.84,56.8879,56.8201,56.8313,56.8407,73
922.82,922.892,922.839,922.51,996.199,996.39,996.477,996.23,72.804,72.8264,72.826,72.79,56.8865,56.8208,56.834,56.845,74
922.848,922.978,922.978,923.03,996.172,996.29,996.354,996.16,72.8047,72.8249,72.829,72.8,56.8855,56.8239,56.8381,56.8534,75
922.878,923.059,923.113,923.25,996.14,996.185,996.219,995.78,72.806,72.8222,72.8306,72.83,56.8848,56.8291,56.8433,56.85,76
922.908,923.133,923.232,923.41,996.101,996.075,996.075,996.24,72.8077,72.8182,72.8304,72.86,56.8845,56.8361,56.8491,56.8695,77
922.94,923.196,923.324,923.12,996.056,995.964,995.925,995.6802,72.8096,72.8129,72.828,72.855,56.8844,56.8445,56.8553,56.85,78
922.973,923.246,923.38,922.85,996.005,995.853,995.772,996.04,72.8115,72.8064,72.8231,72.83,56.8847,56.8539,56.8615,56.865,79
923.009,923.282,923.392,922.76,995.948,995.745,995.622,995.77,72.8133,72.7989,72.8159,72.8357,56.8852,56.8638,56.8675,56.875,80
923.047,923.301,923.36,922.81,995.887,995.64,995.481,995.58,72.8148,72.7908,72.8065,72.79,56.8859,56.874,56.8734,56.82,81
923.088,923.305,923.289,922.8332,995.82,995.54,995.355,994.79,72.8159,72.7822,72.7953,72.8,56.8869,56.884,56.879,56.8564,82
923.133,923.293,923.188,923.5,995.749,995.446,995.249,995.31,72.8166,72.7737,72.7832,72.8,56.888,56.8936,56.8846,56.86,83
923.181,923.267,923.074,923.19,995.674,995.359,995.167,994.72,72.8166,72.7655,72.771,72.805,56.8894,56.9025,56.8901,56.88,84
923.232,923.229,922.964,923.145,995.596,995.278,995.113,994.81,72.816,72.7579,72.7596,72.8,56.8908,56.9107,56.8956,56.855,85
923.288,923.183,922.877,922.76,995.514,995.204,995.086,995.22,72.8147,72.7513,72.75,72.76,56.8924,56.9179,56.9013,56.88,86
923.348,923.132,922.825,922.85,995.43,995.135,995.081,995.12,72.8128,72.7459,72.7428,72.75,56.8941,56.9242,56.9073,56.91,87
923.413,923.08,922.82,922.6176,995.343,995.072,995.093,995.1787,72.8103,72.7419,72.7385,72.76,56.8958,56.9297,56.9135,56.95,88
923.483,923.032,922.862,923.22,995.256,995.013,995.113,994.9,72.8072,72.7392,72.7373,72.71,56.8976,56.9343,56.9199,56.94,89
923.557,922.994,922.948,923.58,995.167,994.957,995.13,995.15,72.8037,72.7379,72.7391,72.71,56.8994,56.9383,56.9264,56.94,90
923.637,922.969,923.065,923.1919,995.078,994.905,995.135,995.5,72.7998,72.7378,72.7432,72.725,56.9012,56.9416,56.9328,56.94,91
923.722,922.962,923.197,923.38,994.988,994.853,995.119,995.27,72.7957,72.7388,72.749,72.7701,56.9029,56.9445,56.9389,56.935,92
923.813,922.979,923.329,923.36,994.9,994.803,995.076,995.27,72.7915,72.7408,72.7553,72.74,56.9046,56.9469,56.9446,56.925,93
923.909,923.022,923.445,923.98,994.813,994.752,995.002,995.1,72.7874,72.7433,72.7612,72.71,56.9062,56.949,56.9494,56.91,94
924.011,923.095,923.537,924.045,994.727,994.701,994.9,994.74,72.7835,72.7463,72.7658,72.78,56.9077,56.9509,56.9532,56.91,95
924.119,923.2,923.604,923.81,994.644,994.649,994.774,994.83,72.7799,72.7494,72.7683,72.79,56.9091,56.9525,56.9557,56.925,96
924.232,923.338,923.653,924.07,994.563,994.595,994.634,994.44,72.7767,72.7525,72.7684,72.78,56.9103,56.9537,56.9569,56.945,97
924.35,923.51,923.699,924.16,994.486,994.54,994.488,994.6,72.7741,72.7554,72.766,72.76,56.9113,56.9546,56.9565,56.97,98
924.475,923.715,923.762,924.4999,994.412,994.484,994.347,994.455,72.7722,72.758,72.7616,72.7665,56.9122,56.955,56.9546,56.945,99
924.604,923.95,923.864,924.18,994.342,994.428,994.223,994.13,72.7709,72.7605,72.7558,72.74,56.9129,56.9548,56.9512,56.97,100
